time;Model Root/CTRL_VEH/DriverRequest [%]/Value;Model Root/STATUS_BAT/StateOfCharge [%]/Value;currentTime
0.000000;0.00;70.00;-1.72
0.010000;0.00;70.00;-0.75
0.020000;0.00;70.00;0.58
0.030000;0.00;70.00;1.61
0.040000;0.00;70.00;2.14
0.050000;0.00;70.00;3.13
0.060000;0.00;70.00;4.69
0.070000;0.00;70.00;5.72
0.080000;0.00;70.00;6.55
0.090000;0.00;70.00;7.29
0.100000;0.00;70.00;8.54
0.110000;0.00;70.00;9.64
0.120000;0.00;70.00;10.48
0.130000;0.00;70.00;11.22
0.140000;0.00;70.00;12.17
0.150000;0.00;70.00;13.14
0.160000;0.00;70.00;14.68
0.170000;0.00;70.00;15.15
0.180000;0.00;70.00;16.00
0.190000;0.00;70.00;17.16
0.200000;0.00;70.00;18.85
0.210000;0.00;70.00;19.62
0.220000;0.00;70.00;20.11
0.230000;0.00;70.00;21.70
0.240000;0.00;70.00;22.63
0.250000;0.00;70.00;23.73
0.260000;0.00;70.00;24.59
0.270000;0.00;70.00;25.78
0.280000;0.00;70.00;26.29
0.290000;0.00;70.00;27.93
0.300000;0.00;70.00;28.64
0.310000;0.00;70.00;29.86
0.320000;0.00;70.00;30.95
0.330000;0.00;70.00;31.25
0.340000;0.00;70.00;32.63
0.350000;0.00;70.00;33.16
0.360000;0.00;70.00;34.40
0.370000;0.00;70.00;35.01
0.380000;0.00;70.00;36.40
0.390000;0.00;70.00;37.56
0.400000;0.00;70.00;38.27
0.410000;0.00;70.00;39.82
0.420000;0.00;70.00;40.85
0.430000;0.00;70.00;41.13
0.440000;0.00;70.00;42.05
0.450000;0.00;70.00;43.25
0.460000;0.00;70.00;44.27
0.470000;0.00;70.00;45.95
0.480000;0.00;70.00;46.34
0.490000;0.00;70.00;47.02
0.500000;0.00;70.00;48.45
0.510000;0.00;70.00;49.78
0.520000;0.00;70.00;50.69
0.530000;0.00;70.00;51.36
0.540000;0.00;70.00;52.58
0.550000;0.00;70.00;53.97
0.560000;0.00;70.00;54.70
0.570000;0.00;70.00;55.34
0.580000;0.00;70.00;56.02
0.590000;0.00;70.00;57.21
0.600000;0.00;70.00;58.50
0.610000;0.00;70.00;59.53
