time;ELECTRIC_POWER_TRAIN/CONTROL_SIGNALS_BUS/CONTROL_SIGNALS_BUS/DRIVING_MODE
0.008000;-0.76
0.341467;0.25
0.674933;1.34
1.008400;2.45
1.341867;3.53
1.675333;4.62
2.008800;5.18
2.342267;6.51
2.675733;7.67
3.009200;8.38
3.342667;9.44
3.676133;10.06
4.009600;11.95
4.343067;12.21
4.676533;13.99
5.010000;14.16
5.343467;15.72
5.676933;16.75
6.010400;17.94
6.343867;18.55
6.677333;19.73
7.010800;20.52
7.344267;21.94
7.677733;22.06
8.011200;23.82
8.344667;24.02
8.678133;25.72
9.011600;26.85
9.345067;27.83
9.678533;28.10
