time;Model Root/CLAMPS/Clamp15 [0|1]/Value;simState
0.013000;-0.38;-0.92
0.079767;0.04;0.98
0.146533;1.36;1.49
0.213300;2.33;2.38
0.280067;3.54;3.53
0.346833;4.21;4.88
0.413600;5.25;5.82
0.480367;6.37;6.47
0.547133;7.47;7.99
0.613900;8.04;8.60
0.680667;9.27;9.28
0.747433;10.63;10.92
0.814200;11.88;11.73
0.880967;12.71;12.81
0.947733;13.19;13.80
1.014500;14.58;14.42
1.081267;15.05;15.37
1.148033;16.80;16.45
1.214800;17.24;17.49
1.281567;18.23;18.25
1.348333;19.87;19.19
1.415100;20.22;20.92
1.481867;21.93;21.09
1.548633;22.20;22.13
1.615400;23.93;23.24
1.682167;24.68;24.46
1.748933;25.01;25.90
1.815700;26.47;26.25
1.882467;27.49;27.92
1.949233;28.53;28.26
